id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url,rule_score,rules,diff_added,diff_removed,nlp_score,nlp_notes,entropy,kl_divergence,compression_ratio,mass_rule,mass_nlp,is_reverted,revert_by,revert_comment
2009472007,Jalangi Assembly constituency,XYZ 250706,False,1774446713,en.wikipedia.org,0,/* Members of the Legislative Assembly */,18286,18291,1344273314,1345317892,False,False,enwiki,https://en.wikipedia.org/wiki/Jalangi_Assembly_constituency,https://en.wikipedia.org/w/index.php?diff=1345317892&oldid=1344273314,0.0,,"|[[1991 West Bengal Legislative Assembly election|1991]]||rowspan=4|[[Yunus Ali Sarkar]]<ref name=vidhansabha1991>{{cite web| url = http://eci.nic.in/eci_main/StatisticalReports/SE_1991/StatisticalReport-West%20Bengal91.pdf|title = General Elections, India, 1991, to the Legislative Assembly of West Bengal | work= Constituency-wise Data|publisher= Election Commission | access-date = 20 July 2014}}</ref>","|[[1991 West Bengal Legislative Assembly election|1991]]||rowspan=4|Unus Ali Sarkar<ref name=vidhansabha1991>{{cite web| url = http://eci.nic.in/eci_main/StatisticalReports/SE_1991/StatisticalReport-West%20Bengal91.pdf|title = General Elections, India, 1991, to the Legislative Assembly of West Bengal | work= Constituency-wise Data|publisher= Election Commission | access-date = 20 July 2014}}</ref>",6.5,it:random(1.29);ned:name_swap(1);nlp:ext_link(eci.nic.in),3.8249,0.3623,1.2857,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.2566, ""s"": 0.0963, ""t"": 0.6471}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472009,Stockholm Arlanda Airport,~2026-18585-72,False,1774446709,en.wikipedia.org,0,/* Airlines and destinations */,159524,159460,1342944034,1345317886,False,False,enwiki,https://en.wikipedia.org/wiki/Stockholm_Arlanda_Airport,https://en.wikipedia.org/w/index.php?diff=1345317886&oldid=1342944034,0.0,,"| [[Scandinavian Airlines]]<ref>{{cite web|url=https://www.sas.se/vart-trafikprogram/|title=Traffic program|website=sas.se|access-date=18 February 2021|archive-date=5 April 2023|archive-url=https://web.archive.org/web/20230405152105/https://www.sas.se/vart-trafikprogram/|url-status=live}}</ref> | [[Aarhus Airport|Aarhus]], [[Alicante–Elche Miguel Hernández Airport|Alicante]],<ref name=""aeroroutes_241030-sknw24eu"">{{Cite web|last1=Liu|first1=Jim|url=https://www.aeroroutes.com/eng/241030-sknw24eu|title=SAS NW24 Europe Service Changes – 27OCT24|website=Aeroroutes.com|date=30 October 2024|accessdate=27 November 2024|language=en-CA}}</ref> [[Amsterdam Airport Schiphol|Amsterdam]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Ängelholm–Helsingborg Airport|Ängelholm]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Athens International Airport|Athens]], [[Josep Tarradellas Barcelona–El Prat Airport|Barcelona]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Bergen Airport, Flesland|Bergen]], [[Berlin Brandenburg Airport|Berlin]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Billund Airport|Billund]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Brussels Airport|Brussels]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Copenhagen Airport|Copenhagen]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Dublin Airport|Dublin]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Edinburgh Airport|Edinburgh]], [[Gago Coutinho Airport|Faro]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Geneva Airport|Geneva]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Göteborg Landvetter Airport|Gothenburg]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Halmstad Airport|Halmstad]],<ref name=""SASNW24"">{{cite web |title=SAS NW24 Sweden Network Changes |url=https://www.aeroroutes.com/eng/241018-sknw24se |website=Aeroroutes |access-date=18 October 2024}}</ref> [[Hamburg Airport|Hamburg]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Helsinki Airport|Helsinki]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Kalmar Airport|Kalmar]],<ref name=""SASNW24""/> [[Kiruna Airport|Kiruna]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Heathrow Airport|London–Heathrow]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Luleå Airport|Luleå]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Madrid–Barajas Airport|Madrid]] (begins 29 March 2026),<ref>https://www.sasgroup.net/newsroom/press-releases/2025/sas-launches-most-extensive-summer-program-ever/</ref> [[Málaga Airport|Málaga]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Malmö Airport|Malmö]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Malta International Airport|Malta]], [[Manchester Airport|Manchester]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Linate Airport|Milan–Linate]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Milan Malpensa Airport|Milan–Malpensa]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Newark Liberty International Airport|Newark]], [[Nice Côte d'Azur Airport|Nice]], [[Oslo Airport, Gardermoen|Oslo]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Åre Östersund Airport|Östersund]],<ref name=""aeroroutes","| [[Scandinavian Airlines]]<ref>{{cite web|url=https://www.sas.se/vart-trafikprogram/|title=Traffic program|website=sas.se|access-date=18 February 2021|archive-date=5 April 2023|archive-url=https://web.archive.org/web/20230405152105/https://www.sas.se/vart-trafikprogram/|url-status=live}}</ref> | [[Aarhus Airport|Aarhus]], [[Alicante–Elche Miguel Hernández Airport|Alicante]],<ref name=""aeroroutes_241030-sknw24eu"">{{Cite web|last1=Liu|first1=Jim|url=https://www.aeroroutes.com/eng/241030-sknw24eu|title=SAS NW24 Europe Service Changes – 27OCT24|website=Aeroroutes.com|date=30 October 2024|accessdate=27 November 2024|language=en-CA}}</ref> [[Amsterdam Airport Schiphol|Amsterdam]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Ängelholm–Helsingborg Airport|Ängelholm]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Athens International Airport|Athens]], [[Josep Tarradellas Barcelona–El Prat Airport|Barcelona]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Bergen Airport, Flesland|Bergen]], [[Berlin Brandenburg Airport|Berlin]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Billund Airport|Billund]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Brussels Airport|Brussels]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Copenhagen Airport|Copenhagen]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Dublin Airport|Dublin]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Edinburgh Airport|Edinburgh]], [[Gago Coutinho Airport|Faro]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Geneva Airport|Geneva]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Göteborg Landvetter Airport|Gothenburg]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Halmstad Airport|Halmstad]],<ref name=""SASNW24"">{{cite web |title=SAS NW24 Sweden Network Changes |url=https://www.aeroroutes.com/eng/241018-sknw24se |website=Aeroroutes |access-date=18 October 2024}}</ref> [[Hamburg Airport|Hamburg]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Helsinki Airport|Helsinki]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Kalmar Airport|Kalmar]],<ref name=""SASNW24""/> [[Kiruna Airport|Kiruna]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Heathrow Airport|London–Heathrow]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Luleå Airport|Luleå]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Madrid–Barajas Airport|Madrid]] (begins 29 March 2026),<ref>https://www.sasgroup.net/newsroom/press-releases/2025/sas-launches-most-extensive-summer-program-ever/</ref> [[Málaga Airport|Málaga]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Malmö Airport|Malmö]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Malta International Airport|Malta]], [[Manchester Airport|Manchester]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Linate Airport|Milan–Linate]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Milan Malpensa Airport|Milan–Malpensa]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Newark Liberty International Airport|Newark]], [[Nice Côte d'Azur Airport|Nice]], [[Oslo Airport, Gardermoen|Oslo]],<ref name=""aeroroutes_241030-sknw24eu""/> [[Åre Östersund Airport|Östersund]],<ref name=""aeroroutes",2.5,nlp:ext_link(sas.se),4.5296,0.0885,0.6204,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0815, ""s"": 0.2083, ""t"": 0.7101}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472010,SRC,~2026-18544-27,False,1774446713,en.wikipedia.org,0,/* Other */,3134,3149,1345317508,1345317891,False,False,enwiki,https://en.wikipedia.org/wiki/SRC,https://en.wikipedia.org/w/index.php?diff=1345317891&oldid=1345317508,0.0,,*SrC¹³ - ???,,2.0,it:random(1.62),2.8454,0.2178,1.6154,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0624, ""s"": 0.2253, ""t"": 0.7123}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472011,Isabelle Boffey,Hildreth gazzard,False,1774446711,en.wikipedia.org,0,,17538,17960,1344263741,1345317887,False,False,enwiki,https://en.wikipedia.org/wiki/Isabelle_Boffey,https://en.wikipedia.org/w/index.php?diff=1345317887&oldid=1344263741,1.0,rule:no_comment,"|access-date=25 Jan 2026|website=World Athletics}}</ref> The following week, Boffey lowered her outright personal best by nearly two seconds to move to second on the British all-time indoors list, behind only [[Keely Hodgkinson]], with 1:57.43 to win the 800&nbsp;m at the John Thomas Terrier Classic in Boston on 30 January, ahead of American champion [[Roisin Willis]] and Kenyan [[Gladys Chepngetich]]. The time also moved Boffey into the top-ten on the all-time indoors world list.<ref>{{cite web|website=European Athletics|url=https://www.european-athletics.com/home/news/second-fastest-brit-in-history-boffey-blazes-to-a-1-57-43-800m-in-boston|title=Second fastest Brit in history! Boffey blazes to a 1:57.43 800m in Boston|first=Steven |last=Mills|date=31 Jan 2026}}</ref><ref>{{cite web|url=https://www.bbc.co.uk/sport/athletics/articles/c4g4kezk592o |title=Boffey runs second fastest indoor 800m by Briton|date=31 Jan 2026|accessdate=31 Jan 2026|website=BBC Sport}}</ref> Boffey reached the semi-finals of the 800 m at the [[2026 World Athletics Indoor Championships – Women's 800 metres| 2026 World Athletics Indoor Championships]] in [[Toruń]], Poland.<ref>{{Cite web | url= https://worldathletics.org/competition/calendar-results/results/7199326?eventId=10229579
|title= World Athletics Indoor Championships|date=20 March 2026
|access-date=25 March 2026| website=World Athletics}}</ref>","|access-date=25 Jan 2026|website=World Athletics}}</ref> The following week, Boffey lowered her outright personal best by nearly two seconds to move to second on the British all-time indoors list, behind only [[Keely Hodgkinson]], with 1:57.43 to win the 800&nbsp;m at the John Thomas Terrier Classic in Boston on 30 January, ahead of American champion [[Roisin Willis]] and Kenyan [[Gladys Chepngetich]]. The time also moved Boffey into the top-ten on the all-time indoors world list.<ref>{{cite web|website=European Athletics|url=https://www.european-athletics.com/home/news/second-fastest-brit-in-history-boffey-blazes-to-a-1-57-43-800m-in-boston|title=Second fastest Brit in history! Boffey blazes to a 1:57.43 800m in Boston|first=Steven |last=Mills|date=31 Jan 2026}}</ref><ref>{{cite web|url=https://www.bbc.co.uk/sport/athletics/articles/c4g4kezk592o |title=Boffey runs second fastest indoor 800m by Briton|date=31 Jan 2026|accessdate=31 Jan 2026|website=BBC Sport}}</ref>",5.0,nlp:pov_shift(best);ned:number_change;nlp:ext_link(european-athletics.com),4.4316,0.0,0.63,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.1873, ""s"": 0.1333, ""t"": 0.6794}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472016,Mule Suttles,~2026-16019-73,False,1774446715,en.wikipedia.org,0,/* Legacy */ Spelling on Big Mac,8534,8534,1334723066,1345317895,False,False,enwiki,https://en.wikipedia.org/wiki/Mule_Suttles,https://en.wikipedia.org/w/index.php?diff=1345317895&oldid=1334723066,0.0,,"In 2024, Suttles was officially recognized as the 4th greatest all-time slugger when the Negro League statistics were incorporated into the MLB records, far surpassing Mark McGwire and also relegating Barry Bonds to 8th place.","In 2024, Suttles was officially recognized as the 4th greatest all-time slugger when the Negro League statistics were incorporated into the MLB records, far surpassing Mark Mcguire and also relegating Barry Bonds to 8th place.",1.5,nlp:pov_shift(greatest),4.2762,0.0,0.7655,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472017,Dravidian languages,Jacklincoln47,False,1774446706,en.wikipedia.org,0,,109504,109560,1344604893,1345317882,False,False,enwiki,https://en.wikipedia.org/wiki/Dravidian_languages,https://en.wikipedia.org/w/index.php?diff=1345317882&oldid=1344604893,1.0,rule:no_comment,"The '''Dravidian languages''' are a [[language family|family of languages]] spoken by 250 million people, primarily in [[South India]], parts of [[North India]], [[Bangladesh]] and [[Nepal]], north-east [[Sri Lanka]], and south-west [[Pakistan]], with pockets in [[Afghanistan]] and [[Iran]].{{sfnp|Steever|2020|p=1}}{{sfnp|Kolichala|2016|p=76}}","The '''Dravidian languages''' are a [[language family|family of languages]] spoken by 250 million people, primarily in [[South India]], north-east [[Sri Lanka]], and south-west [[Pakistan]], with pockets in [[Afghanistan]] and [[Iran]].{{sfnp|Steever|2020|p=1}}{{sfnp|Kolichala|2016|p=76}}",0.0,,4.2248,0.0155,0.7094,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472024,Quintus Glitius Atilius Agricola,Randy Kryn,False,1774446718,en.wikipedia.org,0,uppercase per direct link (Roman Senate),6850,6850,1328888193,1345317898,False,False,enwiki,https://en.wikipedia.org/wiki/Quintus_Glitius_Atilius_Agricola,https://en.wikipedia.org/w/index.php?diff=1345317898&oldid=1328888193,0.0,,"'''Quintus Glitius Atilius Agricola''' was a [[Roman Empire|Roman]] [[Roman Senate|senator]] and general who held several posts in the emperor's service. He was twice [[Roman consul|suffect consul]]: for the first time in AD 97 with [[Lucius Pomponius Sura]]<ref>All that survives of the consul's name on the ''Fasti ostienses'' is ""..]us"", which Zevi had plausibly restored as [[Lucius Licinius Sura]]. However, two more recently recovered fragments of military diplomas show that the name of this consul is L. Pomponius Maternus, who is otherwise unknown. (Eck and Pangerl, [https://www.jstor.org/stable/20191986 ""Zwei Konstitutionen für die Truppen Niedermösiens vom 9. September 97""], ''[[Zeitschrift für Papyrologie und Epigraphik]]'', 151 (2005), pp. 185-192</ref> as his colleague,<ref>Fausto Zevi, [https://www.jstor.org/stable/23459091 ""I consoli del 97 d. Cr. in due framenti gia' editi dei Fasti Ostienses""], ''Listy filologické / Folia philologica'', 96 (1973), pp. 125-137</ref> and the second time in 103 when he replaced the emperor [[Trajan]].<ref>''[[Fasti Ostienses]]'', edited Ladislav Vidman (Prague: Acadamia, 1982), frag. Gd l. 6</ref> He is the last known person to have held two suffect consulates.<ref>Such iterated consulates are discussed by [[Ronald Syme]], [https://www.jstor.org/stable/297794 review of ''I Fasti Consolari dell' Impero Romano dal 30 Av anti Christo al 613 Dopo Christo'' by Attilio Degrassi], ''[[Journal of Roman Studies]]'', 43 (1953), pp. 148-161</ref> Agricola is known only through a large number of fragmentary inscriptions from [[Augusta Taurinorum]], which appears to be his home town.","'''Quintus Glitius Atilius Agricola''' was a [[Roman Empire|Roman]] [[Roman senate|senator]] and general who held several posts in the emperor's service. He was twice [[Roman consul|suffect consul]]: for the first time in AD 97 with [[Lucius Pomponius Sura]]<ref>All that survives of the consul's name on the ''Fasti ostienses'' is ""..]us"", which Zevi had plausibly restored as [[Lucius Licinius Sura]]. However, two more recently recovered fragments of military diplomas show that the name of this consul is L. Pomponius Maternus, who is otherwise unknown. (Eck and Pangerl, [https://www.jstor.org/stable/20191986 ""Zwei Konstitutionen für die Truppen Niedermösiens vom 9. September 97""], ''[[Zeitschrift für Papyrologie und Epigraphik]]'', 151 (2005), pp. 185-192</ref> as his colleague,<ref>Fausto Zevi, [https://www.jstor.org/stable/23459091 ""I consoli del 97 d. Cr. in due framenti gia' editi dei Fasti Ostienses""], ''Listy filologické / Folia philologica'', 96 (1973), pp. 125-137</ref> and the second time in 103 when he replaced the emperor [[Trajan]].<ref>''[[Fasti Ostienses]]'', edited Ladislav Vidman (Prague: Acadamia, 1982), frag. Gd l. 6</ref> He is the last known person to have held two suffect consulates.<ref>Such iterated consulates are discussed by [[Ronald Syme]], [https://www.jstor.org/stable/297794 review of ''I Fasti Consolari dell' Impero Romano dal 30 Av anti Christo al 613 Dopo Christo'' by Attilio Degrassi], ''[[Journal of Roman Studies]]'', 43 (1953), pp. 148-161</ref> Agricola is known only through a large number of fragmentary inscriptions from [[Augusta Taurinorum]], which appears to be his home town.",0.0,,4.5325,0.0,0.5953,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
2009472025,List of shipwrecks in March 1942,October1944,False,1774446700,en.wikipedia.org,0,/* 25 March */,258960,258960,1345317701,1345317872,False,False,enwiki,https://en.wikipedia.org/wiki/List_of_shipwrecks_in_March_1942,https://en.wikipedia.org/w/index.php?diff=1345317872&oldid=1345317701,0.0,,"|desc=World War II: The MO-4 Type [[minesweeper]] ({{GRT|50|disp=}}) was set on fire by enemy artillery fire while being moored in Streletskaya Bay near [[Sevastopol]]. Two of her crew and one of SKA-0183 braved the fire to throw in the sea the depht charges and ammunition aboard and were killed when the ship finally exploded. Their sacrifice avoided a far bigger and deadlier explosion. One, senior sailor [[Ivan Golubets]] of SKA-0183, was awarded the title of [[Hero of the Soviet Union]].<ref>{{cite web |url=https://russ-flot.narod.ru/x-0014_MO-IV.htm |title=MO-4 type |publisher=russ-flot.narod.ru |access-date=25 March 2026}}</ref><ref>{{cite web |url=https://flot.com/history/events/golubetz.htm |title=Ivan Golubets |publisher=flot.com |access-date=25 March 2026}}</ref>","|desc=World War II: The MO-4 Type [[minesweeper]] ({{GRT|50|disp=}}) was set on fire by enemy artillery fire while being moored in Streletskaya Bay near [[Sevastopol]]. Two of her crew and one of SKA-0183 braved the fire to throw in the sea the depht charges and ammunition aboard and were killed when the ship finally exploded. Their sacrifice allowed a far bigger and deadlier explosion. One, senior sailor [[Ivan Golubets]] of SKA-0183, was awarded the title of [[Hero of the Soviet Union]].<ref>{{cite web |url=https://russ-flot.narod.ru/x-0014_MO-IV.htm |title=MO-4 type |publisher=russ-flot.narod.ru |access-date=25 March 2026}}</ref><ref>{{cite web |url=https://flot.com/history/events/golubetz.htm |title=Ivan Golubets |publisher=flot.com |access-date=25 March 2026}}</ref>",2.5,nlp:ext_link(russ-flot.narod.ru),4.2854,0.0,0.6543,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0815, ""s"": 0.2083, ""t"": 0.7101}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472026,Rotherham United F.C.,CoatbridgeChancellor,False,1774446710,en.wikipedia.org,0,,55584,55585,1345085557,1345317890,False,False,enwiki,https://en.wikipedia.org/wiki/Rotherham_United_F.C.,https://en.wikipedia.org/w/index.php?diff=1345317890&oldid=1345085557,1.0,rule:no_comment,* '''Assistant Manager ''': [[Peter Leven]],* '''Assistant Manager ''': [[Dale Tonge]],4.0,it:random(1.19);ned:name_swap(1),3.5389,0.2928,1.1935,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.1433, ""s"": 0.1613, ""t"": 0.6954}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472029,Nancy Shevell,Woodensuperman,False,1774446722,en.wikipedia.org,0,,397,363,1308552821,1345317906,False,False,enwiki,https://en.wikipedia.org/wiki/Nancy_Shevell,https://en.wikipedia.org/w/index.php?diff=1345317906&oldid=1308552821,1.0,rule:no_comment,,[[Category:Wives of the Beatles]],0.0,,0.0,0.0,0.5,"{""v"": 0.0442, ""s"": 0.243, ""t"": 0.7128}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",False,,Error: Expecting value: line 1 column 1 (char 0)
2009472032,Glossary of solitaire terms,1isall,False,1774446721,en.wikipedia.org,0,Replace some instances of patience.,25455,25457,1345009340,1345317907,False,False,enwiki,https://en.wikipedia.org/wiki/Glossary_of_solitaire_terms,https://en.wikipedia.org/w/index.php?diff=1345317907&oldid=1345009340,0.0,,"Games of [[solitaire]], or patience, have their own 'language' of specialised terms such as [[#building down|""building down""]], [[#packing|""packing""]], [[#foundations|""foundations""]], [[#talon|""talon""]] and [[#tableau|""tableau""]].  Once learnt they are helpful in describing, succinctly and accurately, how the games are played. Solitaire games are usually for a single player, although a small number have been designed for two and, in rare cases, three or even four players. They are games of skill or chance or a combination of the two. There are three classes of solitaire grouped by object.<ref name=Hoffmann/>","Games of [[solitaire]], or patience, have their own 'language' of specialised terms such as [[#building down|""building down""]], [[#packing|""packing""]], [[#foundations|""foundations""]], [[#talon|""talon""]] and [[#tableau|""tableau""]].  Once learnt they are helpful in describing, succinctly and accurately, how the games are played. Patience games are usually for a single player, although a small number have been designed for two and, in rare cases, three or even four players. They are games of skill or chance or a combination of the two. There are three classes of patience grouped by object.<ref name=Hoffmann/>",0.0,,4.2501,0.0,0.5767,"{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}","{""v"": 0.0, ""s"": 0.3, ""t"": 0.7}",,,
