id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url
2009138489,Li Liu (Cheng-Han),Zangxuangao,False,1774366148,en.wikipedia.org,0,/* Service under Li Xiáng and Li Te */,13216,13197,1345150883,1345151043,False,False,enwiki,https://en.wikipedia.org/wiki/Li_Liu_(Cheng-Han),https://en.wikipedia.org/w/index.php?diff=1345151043&oldid=1345150883
2009138491,Francesca Cima,Mellamelina,False,1774366151,en.wikipedia.org,0,,22495,22313,1345151005,1345151051,False,False,enwiki,https://en.wikipedia.org/wiki/Francesca_Cima,https://en.wikipedia.org/w/index.php?diff=1345151051&oldid=1345151005
2009138494,Lil Wop,~2026-18434-75,False,1774366148,en.wikipedia.org,0,Added a photo to career,10099,10150,1345144073,1345151046,False,False,enwiki,https://en.wikipedia.org/wiki/Lil_Wop,https://en.wikipedia.org/w/index.php?diff=1345151046&oldid=1345144073
2009138496,PAOK BC,~2026-15593-97,False,1774366148,en.wikipedia.org,0,,82331,82326,1344455908,1345151041,False,False,enwiki,https://en.wikipedia.org/wiki/PAOK_BC,https://en.wikipedia.org/w/index.php?diff=1345151041&oldid=1344455908
2009138499,Inflight smoking,Dustwater98,False,1774366151,en.wikipedia.org,0,Added update to the article,24115,24294,1345149867,1345151050,False,False,enwiki,https://en.wikipedia.org/wiki/Inflight_smoking,https://en.wikipedia.org/w/index.php?diff=1345151050&oldid=1345149867
2009138500,Curtain,TonySt,False,1774366151,en.wikipedia.org,0,[[WP:CVPI|CVPI]]: Reverting non-[[WP:NPOV|neutral]] content by [[Special:Contributions/~2026-18438-22|~2026-18438-22]],17604,17584,1345150973,1345151053,True,False,enwiki,https://en.wikipedia.org/wiki/Curtain,https://en.wikipedia.org/w/index.php?diff=1345151053&oldid=1345150973
2009138502,Black rat,~2026-18583-45,False,1774366146,en.wikipedia.org,0,Deleted wrong information,48781,48763,1344598698,1345151048,False,False,enwiki,https://en.wikipedia.org/wiki/Black_rat,https://en.wikipedia.org/w/index.php?diff=1345151048&oldid=1344598698
2009138512,Donovan Clingan,Yedaman54,False,1774366151,en.wikipedia.org,0,Added Use American English per [[MOS:TIES]],14145,14186,1339822599,1345151052,True,False,enwiki,https://en.wikipedia.org/wiki/Donovan_Clingan,https://en.wikipedia.org/w/index.php?diff=1345151052&oldid=1339822599
2009138516,Sitta min Shawwāl,Fatimah Bello,False,1774366156,en.wikipedia.org,0,,5514,5489,1345114325,1345151059,False,False,enwiki,https://en.wikipedia.org/wiki/Sitta_min_Shaww%C4%81l,https://en.wikipedia.org/w/index.php?diff=1345151059&oldid=1345114325
2009138515,Miroslav Číž,LionmerterTHE,False,1774366152,en.wikipedia.org,0,"/* top */ clean up, [[WP:AWB/T|typo(s) fixed]]: Law → law",6005,6005,1343768673,1345151055,True,False,enwiki,https://en.wikipedia.org/wiki/Miroslav_%C4%8C%C3%AD%C5%BE,https://en.wikipedia.org/w/index.php?diff=1345151055&oldid=1343768673
2009138526,Sophia (given name),Sugarbump,False,1774366156,en.wikipedia.org,0,,49255,49322,1345150636,1345151060,False,False,enwiki,https://en.wikipedia.org/wiki/Sophia_(given_name),https://en.wikipedia.org/w/index.php?diff=1345151060&oldid=1345150636
2009138528,Peravoor Assembly constituency,TheInnocentBystander,False,1774366156,en.wikipedia.org,0,/* Election results */ Corrected links.,13140,13218,1344084779,1345151061,True,False,enwiki,https://en.wikipedia.org/wiki/Peravoor_Assembly_constituency,https://en.wikipedia.org/w/index.php?diff=1345151061&oldid=1344084779
2009138537,SMB (song),Bruce1ee,False,1774366162,en.wikipedia.org,0,fixed [[Special:LintErrors|lint errors]] – stripped tags,6746,6733,1345132416,1345151070,True,False,enwiki,https://en.wikipedia.org/wiki/SMB_(song),https://en.wikipedia.org/w/index.php?diff=1345151070&oldid=1345132416
2009138535,W. Jason Morgan,LionmerterTHE,False,1774366159,en.wikipedia.org,0,"/* Awards and honors */ clean up, [[WP:AWB/T|typo(s) fixed]]: the USA → the US",10290,10289,1292082504,1345151066,True,False,enwiki,https://en.wikipedia.org/wiki/W._Jason_Morgan,https://en.wikipedia.org/w/index.php?diff=1345151066&oldid=1292082504
