id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url
2009728515,Patrick O'Connor (Massachusetts politician),Ser Amantio di Nicolao,False,1774501023,en.wikipedia.org,0,"/* top */ fix parameter(s), replaced: honorific-suffix → honorific_suffix",5471,5471,1343868739,1345452035,False,False,enwiki,https://en.wikipedia.org/wiki/Patrick_O%27Connor_(Massachusetts_politician),https://en.wikipedia.org/w/index.php?diff=1345452035&oldid=1343868739
2009728524,Houston Ship Channel,Antony-22,False,1774501025,en.wikipedia.org,0,"/* Crossings */ oh, well",18999,18905,1345451611,1345452040,False,False,enwiki,https://en.wikipedia.org/wiki/Houston_Ship_Channel,https://en.wikipedia.org/w/index.php?diff=1345452040&oldid=1345451611
2009728532,Patrick O'Flynn,Ser Amantio di Nicolao,False,1774501025,en.wikipedia.org,0,"fix parameter(s), replaced: honorific-suffix → honorific_suffix",10455,10454,1333154135,1345452043,False,False,enwiki,https://en.wikipedia.org/wiki/Patrick_O%27Flynn,https://en.wikipedia.org/w/index.php?diff=1345452043&oldid=1333154135
2009728531,William Macneile Dixon,Sedrick Octauious Thrower,False,1774501026,en.wikipedia.org,0,,5863,5820,1335530407,1345452044,True,False,enwiki,https://en.wikipedia.org/wiki/William_Macneile_Dixon,https://en.wikipedia.org/w/index.php?diff=1345452044&oldid=1335530407
2009728537,Anna Swenn-Larsson,Wburrow,False,1774501024,en.wikipedia.org,0,adjust wctitles link,20709,20670,1345451931,1345452036,False,False,enwiki,https://en.wikipedia.org/wiki/Anna_Swenn-Larsson,https://en.wikipedia.org/w/index.php?diff=1345452036&oldid=1345451931
2009728538,Patrick Peacock,Ser Amantio di Nicolao,False,1774501027,en.wikipedia.org,0,"/* top */ fix parameter(s), replaced: honorific-prefix → honorific_prefix, honorific-suffix → honorific_suffix",6670,6670,1296411801,1345452046,False,False,enwiki,https://en.wikipedia.org/wiki/Patrick_Peacock,https://en.wikipedia.org/w/index.php?diff=1345452046&oldid=1296411801
2009728547,Patrick Prendergast (academic),Ser Amantio di Nicolao,False,1774501028,en.wikipedia.org,0,"/* top */ fix parameter(s), replaced: honorific-suffix → honorific_suffix",17247,17247,1334447743,1345452048,False,False,enwiki,https://en.wikipedia.org/wiki/Patrick_Prendergast_(academic),https://en.wikipedia.org/w/index.php?diff=1345452048&oldid=1334447743
2009728548,R. H. Thomson,Yedaman54,False,1774501029,en.wikipedia.org,0,Added Use Canadian English per [[MOS:TIES]] and mdy dates,12789,12864,1333668836,1345452049,True,False,enwiki,https://en.wikipedia.org/wiki/R._H._Thomson,https://en.wikipedia.org/w/index.php?diff=1345452049&oldid=1333668836
2009728555,Large language model,Lfstevens,False,1774501020,en.wikipedia.org,0,/* See also */+World model,165917,165961,1345356533,1345452029,False,False,enwiki,https://en.wikipedia.org/wiki/Large_language_model,https://en.wikipedia.org/w/index.php?diff=1345452029&oldid=1345356533
2009728559,D. Arthur Kelsey,Rublamb,False,1774501032,en.wikipedia.org,0,/* Select publications */ format,7771,7848,1345451163,1345452057,False,False,enwiki,https://en.wikipedia.org/wiki/D._Arthur_Kelsey,https://en.wikipedia.org/w/index.php?diff=1345452057&oldid=1345451163
