id,title,user,bot,timestamp,domain,namespace,comment,length_old,length_new,revision_old,revision_new,minor,patrolled,wiki,title_url,wiki_url
2009809386,Bert Kaempfert,Grutness,False,1774523405,en.wikipedia.org,0,added [[Category:Big band bandleaders]] using [[WP:HC|HotCat]],19418,19452,1345351475,1345496705,False,False,enwiki,https://en.wikipedia.org/wiki/Bert_Kaempfert,https://en.wikipedia.org/w/index.php?diff=1345496705&oldid=1345351475
2009809388,Lucia Ediage,Mercyuniverse,False,1774523409,en.wikipedia.org,0,add references #LSF2026 #MCFCMR2026,6144,5995,1343526868,1345496709,False,False,enwiki,https://en.wikipedia.org/wiki/Lucia_Ediage,https://en.wikipedia.org/w/index.php?diff=1345496709&oldid=1343526868
2009809391,Reminders of Him,~2026-18853-31,False,1774523410,en.wikipedia.org,0,,14855,14858,1345496648,1345496710,False,False,enwiki,https://en.wikipedia.org/wiki/Reminders_of_Him,https://en.wikipedia.org/w/index.php?diff=1345496710&oldid=1345496648
2009809393,"Juvenile Justice (Care and Protection of Children) Act, 2000",Mauls,False,1774523410,en.wikipedia.org,0,,10976,11007,1318419176,1345496711,False,False,enwiki,"https://en.wikipedia.org/wiki/Juvenile_Justice_(Care_and_Protection_of_Children)_Act,_2000",https://en.wikipedia.org/w/index.php?diff=1345496711&oldid=1318419176
2009809398,G. V. Prakash Kumar,~2026-18848-43,False,1774523404,en.wikipedia.org,0,,70267,70267,1345496298,1345496708,False,False,enwiki,https://en.wikipedia.org/wiki/G._V._Prakash_Kumar,https://en.wikipedia.org/w/index.php?diff=1345496708&oldid=1345496298
2009809401,Juventud least gecko,Lyttle-Wight,False,1774523414,en.wikipedia.org,0,"/* References */ dab & xref authors, clean up",2903,2998,1345496482,1345496713,False,False,enwiki,https://en.wikipedia.org/wiki/Juventud_least_gecko,https://en.wikipedia.org/w/index.php?diff=1345496713&oldid=1345496482
2009809402,Angus Bethune (politician),ITBF,False,1774523416,en.wikipedia.org,0,image,8969,9046,1338173119,1345496715,False,False,enwiki,https://en.wikipedia.org/wiki/Angus_Bethune_(politician),https://en.wikipedia.org/w/index.php?diff=1345496715&oldid=1338173119
2009809409,Yin,Bkonrad,False,1774523417,en.wikipedia.org,0,[[WP:DABONE]] and concept is not limited to Taosim,1016,1005,1345446060,1345496718,False,False,enwiki,https://en.wikipedia.org/wiki/Yin,https://en.wikipedia.org/w/index.php?diff=1345496718&oldid=1345446060
2009809410,Robert Kakeeto,~2026-18531-04,False,1774523417,en.wikipedia.org,0,Fixed nationality,5885,5886,1338148974,1345496720,False,False,enwiki,https://en.wikipedia.org/wiki/Robert_Kakeeto,https://en.wikipedia.org/w/index.php?diff=1345496720&oldid=1338148974
2009809411,Murray Chapple,Sammyrice,False,1774523419,en.wikipedia.org,0,personal life,6186,6743,1234032450,1345496721,False,False,enwiki,https://en.wikipedia.org/wiki/Murray_Chapple,https://en.wikipedia.org/w/index.php?diff=1345496721&oldid=1234032450
2009809413,Site of Old Hannastown,DonBeroni,False,1774523421,en.wikipedia.org,0,/* Destruction */ ce,30739,30744,1345496628,1345496722,False,False,enwiki,https://en.wikipedia.org/wiki/Site_of_Old_Hannastown,https://en.wikipedia.org/w/index.php?diff=1345496722&oldid=1345496628
2009809415,Alcohol licensing laws of the United Kingdom,~2026-16194-93,False,1774523422,en.wikipedia.org,0,,43423,43424,1345496548,1345496725,False,False,enwiki,https://en.wikipedia.org/wiki/Alcohol_licensing_laws_of_the_United_Kingdom,https://en.wikipedia.org/w/index.php?diff=1345496725&oldid=1345496548
2009809416,"Chandranagar, Dahanu",~2026-18749-17,False,1774523423,en.wikipedia.org,0,,4163,4304,1345496543,1345496726,False,False,enwiki,"https://en.wikipedia.org/wiki/Chandranagar,_Dahanu",https://en.wikipedia.org/w/index.php?diff=1345496726&oldid=1345496543
2009809419,Robert Hinkle (stuntman),Lsatvedthagen,False,1774523425,en.wikipedia.org,0,,3117,3240,1345496513,1345496732,False,False,enwiki,https://en.wikipedia.org/wiki/Robert_Hinkle_(stuntman),https://en.wikipedia.org/w/index.php?diff=1345496732&oldid=1345496513
2009809420,Farlowella odontotumulus,Quetzal1964,False,1774523424,en.wikipedia.org,0,Correct English names in lead,1790,1790,1331454106,1345496727,False,False,enwiki,https://en.wikipedia.org/wiki/Farlowella_odontotumulus,https://en.wikipedia.org/w/index.php?diff=1345496727&oldid=1331454106
